,name,address,price,rating,amenities
59,OYO 62331 GN Collection O,"Centrally Located, Near A D Halli Park, Housing Board, Bangalore",₹1456,(2096 Ratings),"Reception, Free Wifi, Power backup"
60,Collection O 77215 Manpho Bell,"Railway Colony Majestic , Bangalore",₹1638,(927 Ratings),"Reception, Security, In-house Restaurant"
61,OYO 554 Hotel Red Carpet Residence,"Near Manipal Centre, Ulsoor Road, Bangalore",₹1448,(519 Ratings),"AC, TV, Mini Fridge"
62,Collection O 199 Tin factory,"Near Tin Factory Bus Stop, 1St Cross Rd, Bangalore",₹1353,(2441 Ratings),"Free Wifi, AC"
63,OYO 15392 Sri Sai Guru Comforts,"Near Kodigihalli Gate, Byatarayanapura, Bangalore",₹1216,(816 Ratings),"Free Wifi, Power backup, Card Payment"
64,Capital O BLR2499 Comfort Delight Hotel ,"India, Bangalore",₹1310,(184 Ratings),"Reception, Public Washroom, Security"
65,Capital O 5381 The Emirates Hotel,"Near Total Mall, Madiwalla, Bangalore",₹1167,(524 Ratings),"Parking Facility, Free Wifi, Power backup"
66,Capital O 66595 Scarlet Suites,"Near Sai Balaji Complex, Bangalore",₹1507,,"Private Entrance, Reception, Cot"
67,OYO 77430 Hiland Suites,"560001, Bangalore",₹1625,(102 Ratings),"Reception, Free Wifi, Power backup"
68,OYO 13567 Sri Sai Guru Comforts,"Near Kalyan Nagar, Babu Sahibpalya, Bangalore",₹1351,(206 Ratings),"Free Wifi, Power backup, Card Payment"
69,Collection O 42670 Grand Continent,"Near gopalan cinemas, J.P. Nagar, Bangalore",₹1518,(2018 Ratings),"Private Entrance, Reception, Free Wifi"
70,OYO 9253 Champion Comfort,"Near Sarvodaya College of Nursing, Magadi Rd, Bangalore",₹1319,(282 Ratings),"Parking Facility, Free Wifi, Power backup"
71,Capital O 77528 Smile Hotels,"India, Bangalore",₹1586,(110 Ratings),"Doctor on Call, Reception, Public Washroom"
72,Capital O 15403 Krishna Vaibhava,"Near Water Tank BTM, BTM 2nd stage, Bangalore",₹1695,(114 Ratings),"Parking Facility, Free Wifi, Power backup"
73,OYO 28067 Shree Comforts,"Near RNS motors, Bannerghatta Road, Bangalore",₹1291,(924 Ratings),"Reception, Free Wifi, Power backup"
74,OYO 385 TownHouse Navya International Ramamurthy Nagar,"Near Rammamurthynagar Police Station, Bangalore",₹1647,(2295 Ratings),"Electric Kettle, Free Wifi, AC"
75,OYO 60746 Kings Suites,"Near Banaswadi Police Station, Hrbr Layout, Bangalore",₹1744,(302 Ratings),"AC, AC, TV"
76,OYO Townhouse 180 Jayanagar,"Near Sagar Hospital, Tilak Nagar, Bangalore",₹1658,(1019 Ratings),"Free Wifi, AC, TV"
77,OYO 81310 Collection O Hotel Maharaja,"Rajarajeshwari Nagar Zone, Bangalore",₹1430,,AC
78,SPOT ON 75492 The Royal Comfort,"Near Priyadarshini Restaurant, Yeswanthpur, Bangalore",₹814,(910 Ratings),"TV, AC, AC"
79,Capital O 79118 Green Residency,"kanteerava nagar, Bangalore",₹1272,(27 Ratings),"Reception, CCTV Cameras, Daily Housekeeping"
